,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
72,2022-11-03,202.80567761223358,182.18536261842243,240.18121221921072,202.80567761223358,202.80567761223358,7.20019336973931,7.20019336973931,7.20019336973931,7.20019336973931,7.20019336973931,7.20019336973931,0.0,0.0,0.0,210.0058709819729
73,2022-11-04,201.69742466574706,180.83641791888198,236.82330240685823,201.69742466574706,201.69742466574706,7.586325339716516,7.586325339716516,7.586325339716516,7.586325339716516,7.586325339716516,7.586325339716516,0.0,0.0,0.0,209.2837500054636
74,2022-11-07,198.37266582628757,175.2723244876279,234.2253255853418,198.37266582628757,198.37266582628757,8.152214075143403,8.152214075143403,8.152214075143403,8.152214075143403,8.152214075143403,8.152214075143403,0.0,0.0,0.0,206.52487990143098
75,2022-11-08,197.26441287980109,172.87769903940415,232.46037445314906,197.26441287980109,197.26441287980109,6.544577627104447,6.544577627104447,6.544577627104447,6.544577627104447,6.544577627104447,6.544577627104447,0.0,0.0,0.0,203.80899050690553
76,2022-11-09,196.1561599333146,175.30630770273126,231.07292147285264,196.1561599333146,196.1561599333146,7.789508054034905,7.789508054034905,7.789508054034905,7.789508054034905,7.789508054034905,7.789508054034905,0.0,0.0,0.0,203.9456679873495
77,2022-11-10,195.04790698682808,175.0728393486726,228.78100276287233,195.04790698682808,195.04790698682808,7.200193369747492,7.200193369747492,7.200193369747492,7.200193369747492,7.200193369747492,7.200193369747492,0.0,0.0,0.0,202.24810035657558
78,2022-11-11,193.93965404034157,174.01647787825726,229.6821289815916,193.93965404034157,193.93965404034157,7.586325339720009,7.586325339720009,7.586325339720009,7.586325339720009,7.586325339720009,7.586325339720009,0.0,0.0,0.0,201.52597938006159
79,2022-11-14,190.6148952008821,171.57327928128936,227.91116215138587,190.6148952008821,190.6148952008821,8.152214075161789,8.152214075161789,8.152214075161789,8.152214075161789,8.152214075161789,8.152214075161789,0.0,0.0,0.0,198.7671092760439
80,2022-11-15,189.5066422543956,168.40538287735762,223.76653096295107,189.5066422543956,189.5066422543956,6.544577627085897,6.544577627085897,6.544577627085897,6.544577627085897,6.544577627085897,6.544577627085897,0.0,0.0,0.0,196.05121988148147
81,2022-11-16,188.39838929916095,166.41952389148182,224.27266096271444,188.39838929916095,188.39838929916095,7.789508054034886,7.789508054034886,7.789508054034886,7.789508054034886,7.789508054034886,7.789508054034886,0.0,0.0,0.0,196.18789735319584
82,2022-11-17,187.29013634392626,165.3699565466172,222.39675137873192,187.29013634392626,187.29013634392626,7.200193369742124,7.200193369742124,7.200193369742124,7.200193369742124,7.200193369742124,7.200193369742124,0.0,0.0,0.0,194.4903297136684
83,2022-11-18,186.1818833886916,164.30273234951525,223.38812662330406,186.1818833886916,186.1818833886916,7.586325339755885,7.586325339755885,7.586325339755885,7.586325339755885,7.586325339755885,7.586325339755885,0.0,0.0,0.0,193.7682087284475
84,2022-11-21,182.85712452298768,164.352085765012,218.3427492313958,182.85712452298768,182.85712452298768,8.15221407518017,8.15221407518017,8.15221407518017,8.15221407518017,8.15221407518017,8.15221407518017,0.0,0.0,0.0,191.00933859816786
85,2022-11-22,181.74887156775299,160.05546854300158,215.00914720918541,181.74887156775299,181.74887156775299,6.544577627089005,6.544577627089005,6.544577627089005,6.544577627089005,6.544577627089005,6.544577627089005,0.0,0.0,0.0,188.293449194842
86,2022-11-23,180.64061861251832,160.29798510072877,214.80432816342253,180.64061861251832,180.64061861251832,7.789508054033073,7.789508054033073,7.789508054033073,7.789508054033073,7.789508054033073,7.789508054033073,0.0,0.0,0.0,188.4301266665514
87,2022-11-25,178.42411270204903,158.02561149007965,211.88535673871826,178.42411270204903,178.42411270204903,7.5863253397593775,7.5863253397593775,7.5863253397593775,7.5863253397593775,7.5863253397593775,7.5863253397593775,0.0,0.0,0.0,186.0104380418084
88,2022-11-28,175.09935383634502,154.54411073351235,212.03658578899416,175.09935383634502,175.09935383634502,8.15221407512366,8.15221407512366,8.15221407512366,8.15221407512366,8.15221407512366,8.15221407512366,0.0,0.0,0.0,183.25156791146867
89,2022-11-29,173.99110088929342,152.53467590068885,208.03282278111936,173.99110088929342,173.99110088929342,6.544577627081286,6.544577627081286,6.544577627081286,6.544577627081286,6.544577627081286,6.544577627081286,0.0,0.0,0.0,180.5356785163747
90,2022-11-30,172.88284794224182,150.87854364526038,207.9356106040488,172.88284794224182,172.88284794224182,7.789508054034567,7.789508054034567,7.789508054034567,7.789508054034567,7.789508054034567,7.789508054034567,0.0,0.0,0.0,180.6723559962764
91,2022-12-01,171.77459499519026,149.20219420603078,207.70049608758433,171.77459499519026,171.77459499519026,7.20019336974494,7.20019336974494,7.20019336974494,7.20019336974494,7.20019336974494,7.20019336974494,0.0,0.0,0.0,178.9747883649352
92,2022-12-02,170.66634204813872,150.1942039255342,207.2957734749519,170.66634204813872,170.66634204813872,7.5863253397399655,7.5863253397399655,7.5863253397399655,7.5863253397399655,7.5863253397399655,7.5863253397399655,0.0,0.0,0.0,178.2526673878787
93,2022-12-05,167.34158320698396,147.17397864487432,202.44376662177004,167.34158320698396,167.34158320698396,8.152214075142044,8.152214075142044,8.152214075142044,8.152214075142044,8.152214075142044,8.152214075142044,0.0,0.0,0.0,175.493797282126
94,2022-12-06,166.23333025993236,143.25014750982646,200.0552090283781,166.23333025993236,166.23333025993236,6.544577627084389,6.544577627084389,6.544577627084389,6.544577627084389,6.544577627084389,6.544577627084389,0.0,0.0,0.0,172.77790788701674
95,2022-12-07,165.12507731288076,145.73493372758765,200.6326276719501,165.12507731288076,165.12507731288076,7.789508054033038,7.789508054033038,7.789508054033038,7.789508054033038,7.789508054033038,7.789508054033038,0.0,0.0,0.0,172.9145853669138
96,2022-12-08,164.01682436582922,143.69386833126555,199.82666245497842,164.01682436582922,164.01682436582922,7.200193369753123,7.200193369753123,7.200193369753123,7.200193369753123,7.200193369753123,7.200193369753123,0.0,0.0,0.0,171.21701773558235
97,2022-12-09,163.11131924276313,145.37713775290018,198.83381531701534,163.11131924276313,163.11131924276313,7.586325339798744,7.586325339798744,7.586325339798744,7.586325339798744,7.586325339798744,7.586325339798744,0.0,0.0,0.0,170.69764458256188
98,2022-12-12,160.3948038735649,142.52547167358733,196.98755845857875,160.3948038735649,160.3948038735649,8.152214075139408,8.152214075139408,8.152214075139408,8.152214075139408,8.152214075139408,8.152214075139408,0.0,0.0,0.0,168.5470179487043
99,2022-12-13,159.48929875049882,139.78420460529267,193.1951480292131,159.48929875049882,159.48929875049882,6.54457762707667,6.54457762707667,6.54457762707667,6.54457762707667,6.54457762707667,6.54457762707667,0.0,0.0,0.0,166.0338763775755
100,2022-12-14,158.58379362743273,136.71858801253035,193.93956109945958,158.58379362743273,158.58379362743273,7.789508054034532,7.789508054034532,7.789508054034532,7.789508054034532,7.789508054034532,7.789508054034532,0.0,0.0,0.0,166.37330168146727
101,2022-12-15,157.67828850436663,137.90457362092246,193.34968194449013,157.67828850436663,157.67828850436663,7.200193369746778,7.200193369746778,7.200193369746778,7.200193369746778,7.200193369746778,7.200193369746778,0.0,0.0,0.0,164.87848187411342
102,2022-12-16,156.77278338130057,136.85868413476777,191.3368554297315,156.77278338130057,156.77278338130057,7.586325339779334,7.586325339779334,7.586325339779334,7.586325339779334,7.586325339779334,7.586325339779334,0.0,0.0,0.0,164.3591087210799
103,2022-12-19,154.05626801210232,133.52920861331677,191.2129648044255,154.05626801210232,154.05626801210232,8.152214075178813,8.152214075178813,8.152214075178813,8.152214075178813,8.152214075178813,8.152214075178813,0.0,0.0,0.0,162.20848208728114
104,2022-12-20,153.15076288903623,132.1344049897784,187.0027825202923,153.15076288903623,153.15076288903623,6.5445776270978975,6.5445776270978975,6.5445776270978975,6.5445776270978975,6.5445776270978975,6.5445776270978975,0.0,0.0,0.0,159.69534051613414
105,2022-12-21,152.71349707059392,129.40785829581816,189.89782293541543,152.71349707059392,152.71349707059392,7.7895080540345125,7.7895080540345125,7.7895080540345125,7.7895080540345125,7.7895080540345125,7.7895080540345125,0.0,0.0,0.0,160.50300512462843
106,2022-12-22,152.27623125215163,129.2229346004087,186.91156803599597,152.27623125215163,152.27623125215163,7.20019336974141,7.20019336974141,7.20019336974141,7.20019336974141,7.20019336974141,7.20019336974141,0.0,0.0,0.0,159.47642462189305
107,2022-12-23,151.83896543370932,131.75107644606746,188.5844367527001,151.83896543370932,151.83896543370932,7.586325339782826,7.586325339782826,7.586325339782826,7.586325339782826,7.586325339782826,7.586325339782826,0.0,0.0,0.0,159.42529077349215
108,2022-12-27,150.08990215994012,128.76184113486465,182.94699538059191,150.08990215994012,150.08990215994012,6.544577627090175,6.544577627090175,6.544577627090175,6.544577627090175,6.544577627090175,6.544577627090175,0.0,0.0,0.0,156.6344797870303
109,2022-12-28,149.65263634149784,128.5455936466232,185.9888773549699,149.65263634149784,149.65263634149784,7.789508054036006,7.789508054036006,7.789508054036006,7.789508054036006,7.789508054036006,7.789508054036006,0.0,0.0,0.0,157.44214439553386
110,2022-12-29,149.21537052305553,127.41011322862542,182.99933372266247,149.21537052305553,149.21537052305553,7.200193369749592,7.200193369749592,7.200193369749592,7.200193369749592,7.200193369749592,7.200193369749592,0.0,0.0,0.0,156.41556389280512
111,2022-12-30,148.77810470461324,131.1130280726307,184.34755869192213,148.77810470461324,148.77810470461324,7.586325339740511,7.586325339740511,7.586325339740511,7.586325339740511,7.586325339740511,7.586325339740511,0.0,0.0,0.0,156.36443004435375
112,2023-01-03,147.02904143084402,125.45387898983961,181.9931291178502,147.02904143084402,147.02904143084402,6.5445776270932825,6.5445776270932825,6.5445776270932825,6.5445776270932825,6.5445776270932825,6.5445776270932825,0.0,0.0,0.0,153.5736190579373
